name,net-worth
Andreas Halvorsen,7200000000
Andreas Martinos & family,1800000000
Andreas Martinos & family,1800000000
Andreas Pohl,2400000000
Andreas Pohl,2400000000
Andreas Struengmann & family,9800000000
Andreas Struengmann & family,9800000000
Andreas Struengmann & family,9800000000
Andreas Struengmann & family,9800000000
Andreas Struengmann & family,9800000000
Andreas Struengmann & family,9800000000
Andreas Struengmann & family,9800000000
Andreas Struengmann & family,9800000000
Andreas Struengmann & family,9800000000
Andreas Struengmann & family,9800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andreas von Bechtolsheim & family,14800000000
Andrei Bokarev,3900000000
Andrei Bokarev,3900000000
Andrei Bokarev,3900000000
Andrei Bokarev,3900000000
Andrei Guryev & family,9300000000
Andrei Guryev & family,9300000000
Andrei Guryev & family,9300000000
Andrei Guryev & family,9300000000
Andrei Guryev & family,9300000000
Andrei Guryev & family,9300000000
Andrei Guryev & family,9300000000
Andrei Guryev & family,9300000000
Andrei Guryev & family,9300000000
Andrei Kosogov,1100000000
Andrei Kozitsyn,4400000000
Andrei Kozitsyn,4400000000
Andrei Kozitsyn,4400000000
Andrei Kozitsyn,4400000000
Andrei Krivenko,1500000000
Andrei Krivenko,1500000000
Andrei Kuzyaev,1000000000
Andrei Molchanov,1300000000
Andrei Rappoport,1100000000
Andrei Skoch & family,6700000000
Andrei Skoch & family,6700000000
Andrei Skoch & family,6700000000
Andrei Skoch & family,6700000000
Andrei Skoch & family,6700000000
Andrei Skoch & family,6700000000
Andrei Skoch & family,6700000000
Andrej Babis,3500000000
Andrej Babis,3500000000
Andrej Babis,3500000000
Andrej Babis,3500000000
Andres Bzurovski Bay,1100000000
Andres Santo Domingo,1700000000
Andres Santo Domingo,1700000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Beal,11500000000
Andrew Bialecki,2500000000
Andrew Bialecki,2500000000
Andrew Bialecki,2500000000
Andrew Cherng,3100000000
Andrew Cherng,3100000000
Andrew Cherng,3100000000
Andrew Currie,5500000000
Andrew Currie,5500000000
Andrew Currie,5500000000
Andrew Currie,5500000000
Andrew Currie,5500000000
Andrew Currie,5500000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Forrest & family,19000000000
Andrew Karam,1500000000
Andrew Karam,1500000000
Andrew Tan,2000000000
Andrew Tan,2000000000
Andrew Tisch,1200000000
Andrey Andreev,2100000000
Andrey Andreev,2100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andrey Melnichenko & family,21100000000
Andy Fang,1200000000
Aneel Bhusri,3100000000
Aneel Bhusri,3100000000
Aneel Bhusri,3100000000
Angela Bennett,1300000000
Angela Leong,2400000000
Angela Leong,2400000000
Angelo Koo,1400000000
Anil Gupta,1400000000
Anita Zucker,2300000000
Anita Zucker,2300000000
Ankur Jain,1200000000
Ann Walton Kroenke,10000000000
Ann Walton Kroenke,10000000000
Ann Walton Kroenke,10000000000
Ann Walton Kroenke,10000000000
Ann Walton Kroenke,10000000000
Ann Walton Kroenke,10000000000
Ann Walton Kroenke,10000000000
Ann Walton Kroenke,10000000000
Ann Walton Kroenke,10000000000
Ann Walton Kroenke,10000000000
Anna Katharina Viessmann,3600000000
Anna Katharina Viessmann,3600000000
Anna Katharina Viessmann,3600000000
Anna Katharina Viessmann,3600000000
Anna Maria Braun,1400000000
Annalisa Doris,1500000000
Annalisa Doris,1500000000
Anne Beaufour,2700000000
Anne Beaufour,2700000000
Anne Beaufour,2700000000
Anne Werninghaus,1200000000
Annette Lerner & family,6400000000
Annette Lerner & family,6400000000
Annette Lerner & family,6400000000
Annette Lerner & family,6400000000
Annette Lerner & family,6400000000
Annette Lerner & family,6400000000
Anthony Bamford & family,7500000000
Anthony Bamford & family,7500000000
Anthony Bamford & family,7500000000
Anthony Bamford & family,7500000000
Anthony Bamford & family,7500000000
Anthony Bamford & family,7500000000
Anthony Bamford & family,7500000000
Anthony Bamford & family,7500000000
Anthony Casalena,1600000000
Anthony Casalena,1600000000
Anthony Hall,1900000000
Anthony Hall,1900000000
Anthony Langley,2500000000
Anthony Langley,2500000000
Anthony Langley,2500000000
Anthony Pratt,10600000000
Anthony Pratt,10600000000
Anthony Pratt,10600000000
Anthony Pratt,10600000000
Anthony Pratt,10600000000
Anthony Pratt,10600000000
Anthony Pratt,10600000000
Anthony Pratt,10600000000
Anthony Pratt,10600000000
Anthony Pratt,10600000000
Anthony Pratt,10600000000
Anthony Pritzker,3700000000
Anthony Pritzker,3700000000
Anthony Pritzker,3700000000
Anthony Pritzker,3700000000
Anthony von Mandl,7700000000
Anthony von Mandl,7700000000
Anthony von Mandl,7700000000
Anthony von Mandl,7700000000
Anthony von Mandl,7700000000
Anthony von Mandl,7700000000
Anthony von Mandl,7700000000
Anthony von Mandl,7700000000
Anthony Wood,1700000000
Anthony Wood,1700000000
Antonia Ax:son Johnson & family,10200000000
Antonia Ax:son Johnson & family,10200000000
Antonia Ax:son Johnson & family,10200000000
Antonia Ax:son Johnson & family,10200000000
Antonia Ax:son Johnson & family,10200000000
Antonia Ax:son Johnson & family,10200000000
Antonia Ax:son Johnson & family,10200000000
Antonia Ax:son Johnson & family,10200000000
Antonia Ax:son Johnson & family,10200000000
Antonia Ax:son Johnson & family,10200000000
Antonio Del Valle Ruiz & family,3500000000
Antonio Del Valle Ruiz & family,3500000000
Antonio Del Valle Ruiz & family,3500000000
Antonio Del Valle Ruiz & family,3500000000
Antonio Gracias,1100000000
Antonio Luiz Seabra,1400000000
Antonio Percassi,1600000000
Antonio Percassi,1600000000
Antony Ressler,10500000000
Antony Ressler,10500000000
Antony Ressler,10500000000
Antony Ressler,10500000000
Antony Ressler,10500000000
Antony Ressler,10500000000
